latitude,longitude,elevation,slope,aspect,label,spatial_group,date,rainfall_7d_mm,sar_vv,sar_vh
27.0375,88.2627,2072.0,14.787652969360352,312.51043701171875,1,27_88,2010/08/06 00:00:00+00,161.6,0.0,0.0
27.2743,92.9064,640.0,13.071385383605957,102.09475708007812,1,27_92,2011/07/16 00:00:00+00,205.6,0.0,0.0
26.1295,91.7056,145.0,5.4015984535217285,300.9637451171875,1,26_91,2014/09/22 00:00:00+00,192.8,0.0,0.0
26.1062,91.8717,248.0,5.55723237991333,0.0,1,26_91,2015/07/25 00:00:00+00,314.09999999999997,0.0,0.0
26.10973183,91.80317334,62.0,3.3461828231811523,146.3099365234375,1,26_91,2017/07/06 00:00:00+00,280.8,0.5225860476493835,0.027480000630021095
26.14547804,91.79364785,82.0,12.790879249572754,270.0,1,26_91,2017/07/10 00:00:00+00,227.3,0.6703288555145264,0.044252146035432816
27.167,88.3652,1486.0,23.775039672851562,83.65980529785156,1,27_88,2010/08/20 00:00:00+00,335.2,0.0,0.0
26.1097,91.7747,60.0,2.076667308807373,153.43495178222656,1,26_91,2014/09/22 00:00:00+00,191.1,0.0,0.0
27.1748,88.6458,947.0,15.207433700561523,17.35402488708496,1,27_88,2012/06/07 00:00:00+00,105.8,0.0,0.0
26.1978,91.7665,92.0,17.213523864746094,186.00900268554688,1,26_91,2010/04/20 00:00:00+00,188.8,0.0,0.0
26.1963,91.8074,173.0,11.93842601776123,147.52880859375,1,26_91,2016/07/14 00:00:00+00,140.2,0.0,0.0
25.43807422,91.79904872,1882.0,2.9355664253234863,71.56504821777344,1,25_91,2017/06/17 00:00:00+00,269.6,0.2675381004810333,0.06475886702537537
27.54295099,88.59676956,1671.0,35.2971076965332,110.09523010253906,1,27_88,2017/05/26 00:00:00+00,168.7,0.14455817639827728,0.015547721646726131
27.478,88.527,748.0,23.102224349975586,81.25383758544922,1,27_88,2009/07/01 00:00:00+00,257.2,0.0,0.0
26.1226,91.7162,74.0,15.025493621826172,115.01689147949219,1,26_91,2012/06/22 00:00:00+00,268.0,0.0,0.0
25.907233,91.881892,585.0,7.448564052581787,299.744873046875,1,25_91,2017/05/26 00:00:00+00,75.1,0.16715623438358307,0.05235108733177185
26.1965,91.763,95.0,2.7851665019989014,90.0,1,26_91,2010/04/20 00:00:00+00,188.8,0.0,0.0
27.0736,88.4779,1159.0,11.93842601776123,85.6012954711914,1,27_88,2009/08/20 00:00:00+00,550.6,0.0,0.0
27.337,88.609,1542.0,12.727588653564453,68.96248626708984,1,27_88,2008/08/28 00:00:00+00,406.2,0.0,0.0
